sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon
145,ON-10,OR,Onyx River,Lower Wright Valley,South Victoria Land,-77.46795,162.42593
146,OR-4,OR,Onyx River,Lower Wright Valley,South Victoria Land,-77.5246,161.8972
147,OR-8,OR,Onyx River,Lower Wright Valley,South Victoria Land,-77.51402,162.13828
148,RM1-1,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.4909,-177.1771667
149,RM1-8,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.48678333,-177.0993667
150,RM2-1,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.48788333,-177.1844
151,RM3-1,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.4869,-177.20715
152,RM3-8,RM,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.48116667,-177.1326333
153,SH1-1,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35655,-175.1108
154,SH1-6,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35123333,-175.1727333
155,SH2-1,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35905,-175.0787333
156,SH3-2,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.3597,-175.0693
157,SH3-8,SH,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.35691667,-175.1621
158,TGV1-1,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92033333,-176.9902
159,TGV1-8,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91536667,-176.8791333
160,TGV2-1,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91903333,-177.06025
161,TGV3-1,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.90956667,-177.0217333
162,TGV3-9,TGV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91368333,-176.8831667
163,TN1-1,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92571667,-176.0692333
164,TN1-8,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.91481667,-176.1509167
165,TN2-1,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92381667,-176.0987667
166,TN3-1,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.92271667,-176.1242333
167,TN3-5,TN,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-84.9182,-176.1281667
168,VV-0,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305
169,VV-d,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305
170,VV-J,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305
171,VV-L,VV,Virginia Valley,Virginia Valley,South Victoria Land,-77.4934,160.85305
172,WV-BA 1,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.49556,160.87517
173,WV-UNN 1,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.48,160.85
174,WV-UNN 3,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.48,160.85
175,WV-UNN-2,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.48,160.85
176,WV-ZS 2,WV,Wall Valley: Recon,Wall Valley,South Victoria Land,-77.498933,160.849133
